epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,354.255,0.71689,0.71157,0.91679,0.99537,1,0.995,0.77292,0.8656,0.75139,0.90599,0.0007328,0.0007328,0.0007328
66,360.863,0.6509,0.65289,0.8741,0.99537,1,0.995,0.77292,0.8656,0.75139,0.90599,0.000713,0.000713,0.000713
67,366.818,0.68917,0.63814,0.88786,0.99519,1,0.995,0.76967,0.87196,0.75346,0.91376,0.0006932,0.0006932,0.0006932
68,372.386,0.65647,0.68716,0.87226,0.99519,1,0.995,0.76967,0.87196,0.75346,0.91376,0.0006734,0.0006734,0.0006734
69,377.688,0.70679,0.68687,0.91736,0.99477,1,0.995,0.78282,0.89279,0.73949,0.92125,0.0006536,0.0006536,0.0006536
70,383.541,0.68081,0.65654,0.884,0.99662,1,0.995,0.79265,0.89451,0.73604,0.91979,0.0006338,0.0006338,0.0006338
71,388.983,0.68394,0.62772,0.89724,0.99662,1,0.995,0.79265,0.89451,0.73604,0.91979,0.000614,0.000614,0.000614
72,395.361,0.59973,0.59872,0.85857,0.99641,1,0.995,0.78778,0.9014,0.72426,0.91492,0.0005942,0.0005942,0.0005942
73,401.576,0.65576,0.6525,0.88313,0.99641,1,0.995,0.78778,0.9014,0.72426,0.91492,0.0005744,0.0005744,0.0005744
74,407.184,0.69057,0.62471,0.86828,0.99554,1,0.995,0.7845,0.86396,0.71149,0.90577,0.0005546,0.0005546,0.0005546
75,412.283,0.5981,0.5895,0.84699,0.99554,1,0.995,0.7845,0.86396,0.71149,0.90577,0.0005348,0.0005348,0.0005348
76,417.869,0.65641,0.62757,0.87235,0.99555,1,0.995,0.78965,0.83855,0.70198,0.90553,0.000515,0.000515,0.000515
77,423.343,0.64655,0.64821,0.85928,0.99555,1,0.995,0.78965,0.83855,0.70198,0.90553,0.0004952,0.0004952,0.0004952
78,428.7,0.66635,0.62342,0.87731,0.99391,1,0.995,0.80412,0.80165,0.69773,0.90465,0.0004754,0.0004754,0.0004754
79,433.995,0.65427,0.63229,0.88865,0.99563,1,0.995,0.79861,0.78777,0.70206,0.90625,0.0004556,0.0004556,0.0004556
80,439.444,0.62523,0.64154,0.89364,0.99563,1,0.995,0.79861,0.78777,0.70206,0.90625,0.0004358,0.0004358,0.0004358
81,444.671,0.57088,0.63038,0.83262,0.99539,1,0.995,0.79976,0.7945,0.695,0.90854,0.000416,0.000416,0.000416
82,450.553,0.60078,0.61604,0.87252,0.99539,1,0.995,0.79976,0.7945,0.695,0.90854,0.0003962,0.0003962,0.0003962
83,455.834,0.61197,0.61135,0.86617,0.99552,1,0.995,0.80306,0.79142,0.69875,0.89736,0.0003764,0.0003764,0.0003764
84,461.051,0.70795,0.65323,0.8978,0.99552,1,0.995,0.80306,0.79142,0.69875,0.89736,0.0003566,0.0003566,0.0003566
85,466.606,0.58398,0.58084,0.8638,0.99387,1,0.995,0.81858,0.7736,0.692,0.88686,0.0003368,0.0003368,0.0003368
86,472.207,0.64695,0.62182,0.87548,0.9907,1,0.995,0.81633,0.77488,0.6738,0.88609,0.000317,0.000317,0.000317
87,478.265,0.59432,0.58287,0.83879,0.9907,1,0.995,0.81633,0.77488,0.6738,0.88609,0.0002972,0.0002972,0.0002972
88,483.649,0.60916,0.60847,0.84547,0.99354,1,0.995,0.81392,0.78435,0.66579,0.88543,0.0002774,0.0002774,0.0002774
89,489.361,0.61034,0.60957,0.85137,0.99354,1,0.995,0.81392,0.78435,0.66579,0.88543,0.0002576,0.0002576,0.0002576
90,494.75,0.63035,0.58801,0.88872,0.99636,1,0.995,0.81814,0.78797,0.65876,0.88394,0.0002378,0.0002378,0.0002378
91,500.143,0.5918,0.70803,0.83996,0.99636,1,0.995,0.81814,0.78797,0.65876,0.88394,0.000218,0.000218,0.000218
92,505.952,0.59043,0.6929,0.87765,0.99889,1,0.995,0.81398,0.80748,0.66001,0.88613,0.0001982,0.0001982,0.0001982
93,511.767,0.5322,0.63909,0.83264,0.99889,1,0.995,0.81398,0.80748,0.66001,0.88613,0.0001784,0.0001784,0.0001784
94,517.687,0.50382,0.61106,0.83303,1,0.99734,0.995,0.80502,0.82583,0.64941,0.89223,0.0001586,0.0001586,0.0001586
95,523.208,0.5878,0.68352,0.85732,1,0.99808,0.995,0.80115,0.84076,0.64896,0.89668,0.0001388,0.0001388,0.0001388
96,529.047,0.55519,0.62009,0.84003,1,0.99808,0.995,0.80115,0.84076,0.64896,0.89668,0.000119,0.000119,0.000119
97,534.853,0.59309,0.6234,0.80035,0.99867,1,0.995,0.79901,0.84347,0.65334,0.89722,9.92e-05,9.92e-05,9.92e-05
98,540.349,0.58886,0.63205,0.87126,0.99867,1,0.995,0.79901,0.84347,0.65334,0.89722,7.94e-05,7.94e-05,7.94e-05
99,545.909,0.55826,0.61802,0.84485,0.99907,1,0.995,0.79863,0.83897,0.65981,0.89904,5.96e-05,5.96e-05,5.96e-05
100,551.392,0.57956,0.61785,0.8358,0.99907,1,0.995,0.79863,0.83897,0.65981,0.89904,3.98e-05,3.98e-05,3.98e-05
